FIELD,P/F,WELL,DATE,WHP,WHT,Tr,Ɣw,Pr,Pr-Pb,Reservoir,Tubing_type,WC,I.GAS,D/S,BFPD,BOPD
GS324,324,EDFU-A2,8-May-18,145,137,288,1.186,2585,265,Nezzazat Edfu,Normal 4.5 short*3.5,18,1.6,835,1521,1247
GS324,324,EDFU-A2,9-May-18,175,135,288,1.186,2561,241,Nezzazat Edfu,Normal 4.5 short*3.5,18,1.7,765,1300,1066
GS324,324,EDFU-A3,14-Sep-16,185,113,252,1.102,1748,98,Lower Rudies Edfu,Normal 4.5 short*3.5,1,1.3,775,750,743
GS324,324,EDFU-A3,15-Sep-16,165,120,252,1.102,1747,97,Lower Rudies Edfu,Normal 4.5 short*3.5,1,0.8,685,825,817
GS324,324,EDFU-A3,18-Mar-18,115,98,252,1.102,1463,-187,Lower Rudies Edfu,Normal 4.5 short*3.5,44,1.1,630,730,409
GS324,324,EDFU-A8,26-Apr-16,135,135,310,1.253,5237,3017,Nubia Edfu,Normal 4.5 short*3.5,92,1.8,960,1663,133
GS324,324,EDFU-A8,16-Mar-18,150,110,310,1.253,5240,3020,Nubia Edfu,Normal 4.5 short*3.5,62,2.4,900,1320,502
GS324,324,EDFU-A8,18-Jun-20,130,98,310,1.253,5240,3020,Nubia Edfu,Normal 4.5 short*3.5,58,2,730,800,336
GS327,327,GS 327-A10,5-Dec-21,255,105,190,1.17,2138,178,Asl + Kareem GS327,Normal 4.5 short*3.5,43,2.5,880,815,465
GS327,327,GS 327-A11,4-Feb-18,220,110,170,1.164,1932,97,Kareem GS327,Normal 4.5 short*3.5,76,1.8,935,677,162
GS327,327,GS 327-A11,21-Mar-19,235,140,170,1.164,1891,56,Kareem GS327,Normal 4.5 short*3.5,80,2.4,920,1710,342
GS327,327,GS 327-A12,3-Dec-21,255,142,188,1.164,2200,240,Asl GS327,Normal 4.5 short*3.5,64,3.5,920,2345,820
GS327,327,GS 327-A13 ,30-Nov-21,235,112,187,1.164,2110,150,Asl + Kareem GS327,Normal 4.5 short*3.5,5,2.7,830,970,920
GS327,327,GS 327-A6,19-Aug-19,165,140,190,1.142,2155,195,Asl GS327,Normal 4.5 short*3.5,72,2.4,920,2400,672
GS327,327,GS 327-A6,29-Nov-21,270,151,190,1.142,2138,178,Asl + Kareem GS327,Normal 4.5 short*3.5,85,2.3,975,2500,550
GS327,327,GS 327-A7 ,5-Feb-18,220,122,172,1.168,2200,240,Asl GS327,Normal 4.5 short*3.5,70,2.4,940,1473,442
Hilal B,Hilal B,B-2,2-Nov-18,168,95,220,1.16,1336,-1900,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.6,535,350,347
Hilal B,Hilal B,B-2,10-Feb-19,175,82,220,1.16,1439,-1797,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.6,518,268,265
Hilal B,Hilal B,B-2,30-Mar-19,174,84,220,1.16,1246,-1990,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.5,585,240,238
Hilal B,Hilal B,B-2,8-Apr-19,172,84,220,1.16,1246,-1990,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.4,438,247,245
Hilal B,Hilal B,B-2,15-May-19,170,90,220,1.16,1248,-1988,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1,760,275,272
Hilal B,Hilal B,B-2,19-Aug-19,160,93,220,1.16,1250,-1986,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.3,530,270,267
Hilal B,Hilal B,B-2,30-Sep-19,165,87,220,1.16,1251,-1985,Upper Rudies Hilal,Normal 4.5 short*3.5,1,1.3,515,265,262
Hilal B,Hilal B,B-3,2-May-19,330,183,287,1.185,4510,767,Nubia Hilal,Normal 4.5 short*3.5,71,0,1,2650,769
